[2025-02-18 06:27:15] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 06:27:39] Admin ID: 2 | Activity: Login | Description: Successful login
[2025-02-18 06:42:44] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 08:31:25] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 08:34:31] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 08:36:11] Admin ID: 2 | Activity: Logout | Description: Admin logged out
[2025-02-18 08:36:25] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 10:13:30] Admin ID: 0 | Activity: Logout | Description: Admin logged out
[2025-02-18 10:13:38] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-18 10:19:46] Admin ID: 0 | Activity: Logout | Description: Admin logged out
[2025-02-18 10:19:56] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-19 16:41:33] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-19 17:18:32] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-19 17:20:21] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-19 20:18:14] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-20 07:44:44] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-20 07:55:27] Admin ID: 0 | Activity: Logout | Description: Admin logged out
[2025-02-20 07:55:37] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-20 09:11:36] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-20 09:48:24] Admin ID: 0 | Activity: Logout | Description: Admin logged out
[2025-02-20 09:48:33] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-20 11:32:00] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-21 05:52:05] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-21 05:53:51] Admin ID: 2 | Activity: Logout | Description: Admin logged out
[2025-02-21 06:30:53] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-21 17:43:35] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-21 18:10:08] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-21 18:47:33] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-22 09:37:36] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-22 15:20:22] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-23 14:36:31] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-23 16:13:18] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-24 07:46:17] Admin ID: 1 | Activity: Login | Description: Successful login
[2025-02-28 11:21:44] Admin ID: 1 | Activity: Login | Description: Successful login
